Sat Dec  8 10:44:46 2012    dbscan-9375.profile

         3325826313 function calls (3146135898 primitive calls) in 14862.432 seconds

   Ordered by: file name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/polynomial.py:899(poly1d)
        1    0.000    0.000    0.002    0.002 /usr/lib/python2.7/dist-packages/numpy/lib/polynomial.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/stride_tricks.py:12(DummyArray)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/twodim_base.py:3(<module>)
        1    0.000    0.000    0.025    0.025 /usr/lib/python2.7/dist-packages/numpy/lib/type_check.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/ufunclike.py:4(<module>)
       55    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/utils.py:93(_set_function_name)
        1    0.000    0.000    0.001    0.001 /usr/lib/python2.7/dist-packages/numpy/lib/utils.py:1(<module>)
       55    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/utils.py:108(__init__)
       55    0.001    0.000    0.001    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/utils.py:113(__call__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/utils.py:979(SafeEval)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/utils.py:97(_Deprecate)
       55    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/utils.py:157(deprecate)
        1    0.000    0.000    0.001    0.001 /usr/lib/python2.7/dist-packages/numpy/linalg/__init__.py:44(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/linalg/info.py:34(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/linalg/linalg.py:37(LinAlgError)
        1    0.001    0.001    0.001    0.001 /usr/lib/python2.7/dist-packages/numpy/linalg/linalg.py:10(<module>)
        1    0.001    0.001    0.005    0.005 /usr/lib/python2.7/dist-packages/numpy/ma/__init__.py:38(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:5861(_maximum_operation)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:799(_MaskedUnaryOperation)
        9    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/ma/core.py:2430(getdoc)
